JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
OI	OPERATIONS INVENTAIRE	OI000001	20240901	64120000	PROV CP			x	20240901	PROV CP	0,00	14488,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	64520000	PROV CH.S/CP			x	20240901	PROV CP	0,00	4890,86			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	42820000	PROV CP			x	20240901	PROV CP	14488,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	43820000	PROV CP			x	20240901	PROV CP	4890,86	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006110	ADRIEN GROUP	x	20240901	DOUTEUX ADRIEN GROUP	13654,71	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	DOUTEUX ADRIEN GROUP	0,00	13654,71			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006153	G.E.F	x	20240901	DOUTEUX G.E.F	1706,80	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	DOUTEUX G.E.F	0,00	1706,80			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006332	MDB & CO	x	20240901	DOUTEUX MDB & CO	1813,49	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	DOUTEUX MDB & CO	0,00	1813,49			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006569	SYLVIE BOULANGERIE PATISSERIE	x	20240901	DOUTEUX SYLVIE BOULANGERIE PAT	4386,17	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	DOUTEUX SYLVIE BOULANGERIE PAT	0,00	4386,17			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	78174000	RAP PROV CREANCES DOUTEUSES			x	20240901	PROV 80% PROV.CREANCE DOUTEUSE	0,00	26078,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	49100000	PROVISION CREANCES DOUTEUSES			x	20240901	PROV 80% PROV.CREANCE DOUTEUSE	26078,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006037	SCI 7 CHEMIN DES BRUYERES	3120009032	20240901	DOUTEUX	1068,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			3120009032	20240901	23120009032 SCI 7 CHEMIN DES B	0,00	1068,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006044	PAMOTEX	4070009396	20240901	Transf. de 90006044 à 41600000	1502,40	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			4070009396	20240901	24070009396 PAMOTEX	0,00	1502,40			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006441	SCI ARC EN CIEL	x	20240901	Transf. de 90006441 à 41600000	5100,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	IMP SDD NBRE00001 FR87ZZZ47316	0,00	5100,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006564	SIBERIC FROID ET CLIMATISATION	x	20240901	Transf. de 90006564 à 41600000	350,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	IMP SDD NBRE00001 FR87ZZZ47316	0,00	350,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006564	SIBERIC FROID ET CLIMATISATION	x	20240901	Transf. de 90006564 à 41600000	370,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	IMP SDD NBRE00001 FR87ZZZ47316	0,00	370,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	48700000	PRODUIT CONSTATEE AVANCE			x	20240901	PCA	57520,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	70600100	PRESTATION COMPTABLE ET CAC20%			x	20240901	PCA	0,00	57520,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	44860000	ETAT AUTRES CHARGES A PAYER			x	20240901	PROV CFE 1124X8/12	750,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	63511000	TAXE CFE			x	20240901	PROV CFE 1124X8/12	0,00	750,00			20250831		
